date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:04	36185/36185	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:02%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655.html	(from http://vietlott.vn/)
15:13:05	30245/30245	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:03%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-645.html	(from http://vietlott.vn/)
15:13:06	30185/30185	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:04%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-Max4D	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-Max4D.html	(from http://vietlott.vn/)
15:13:07	30245/30245	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:05%20GMT	http://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-655	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/thong-bao-ket-qua-655.html	(from http://vietlott.vn/)
15:13:08	24847/24847	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:06%20GMT	http://vietlott.vn/vi/trung-thuong/quay-so-mo-thuong/dia-diem-quay-so-mo-thuong	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/quay-so-mo-thuong/dia-diem-quay-so-mo-thuong.html	(from http://vietlott.vn/)
15:13:09	28626/28626	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:06%20GMT	http://vietlott.vn/vi/trung-thuong/quay-so-mo-thuong/quy-trinh-qsmt	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/quay-so-mo-thuong/quy-trinh-qsmt.html	(from http://vietlott.vn/)
15:13:10	35567/35567	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:07%20GMT	http://vietlott.vn/vi/trung-thuong/video-quay-so-mo-thuong	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/video-quay-so-mo-thuong.html	(from http://vietlott.vn/)
15:13:11	29258/29258	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:08%20GMT	http://vietlott.vn/vi/trung-thuong/linh-thuong/quy-dinh-linh-thuong	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/linh-thuong/quy-dinh-linh-thuong.html	(from http://vietlott.vn/)
15:13:12	32710/32710	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:11%20GMT	http://vietlott.vn/vi/trung-thuong/linh-thuong/thoi-gian-linh-thuong-645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/linh-thuong/thoi-gian-linh-thuong-645.html	(from http://vietlott.vn/)
15:13:13	34424/34424	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:13:11%20GMT	http://vietlott.vn/vi/trung-thuong/thong-ke-jackpot/thong-tin-ve-phat-hanh-645	D:/private/webclone/vietlott/vietlott.vn/vi/trung-thuong/thong-ke-jackpot/thong-tin-ve-phat-hanh-645.html	(from http://vietlott.vn/)
